client,agent
hello,hi
how are you,im fine
im fine,thats good
im,you are what
im fine,so how is the weather today
im fine,im sleepy
im,you are what
im fine,ohh okay
today,what happened today
,hello
hello,hi
good,hi
what,nothing
good,hahaha
are,what are you talking about
hello,hi
hello,how are you
im fine,thats good
thats good,hello
im,what are you
,so how are you?
,hows the weather
,hello
,do you like dragonball
,hey
,hello
hi,how are you
im fine,thats good
hello,pangit ka
so how are you,i am bgeautiful you are ugly
do you like dragonball,yes i do like dragonball
so how are you,i feel hungry
so how are you,i dont like you
,hello
how are you,im good
hi,hello
how are you,im good
hi,what are you doing
i feel hungry,then eat
so how are you,i feel tired
yes i do like dragonball,i didnt ask
,what is your favorite color
nothing,why
,who is your favorite actor
,im not really in the mood for this
so how are you,im actually doing good
what are you,im me and thats that
what are you,you already know the answer
,have you ever done anything crazy?
